"104.102.49.86,443,Akamai International, BV,cloudmonitor.getnet.com.br",www1.getnet-tecnologia.com.br,gateway-tefsp.auttar.com.br,tefgetnet.auttar.com.br,digital-hcli.getnet.com.br,portal.auttar.com.br,conciliadorb2w.auttar.com.br,dn.getnet.com.br,cfe.getnet.com.br,servicosportais-tns.getnet.com.br,atendimento.auttar.com.br,credenciamentodigital.getnet.com.br,ecommerce-hom.getnet.com.br,getsso-hom.getnet.com.br,postefnicho-hom.auttar.com.br,appdyn.getnet.com.br,digital.getnet.com.br,api-gateway-hti.getnet.com.br,portal.getnet-tecnologia.com.br,ctf.auttar.com.br,www.getnet.com.br,api-hcli.getnet.com.br,gateway-tef.auttar.com.br,www.auttar.com.br,cartaosuperget.com.br,cgws-hti.getnet.com.br,gateway-tefcb.auttar.com.br,getstore.getnet.com.br,api-backoffice.getnet.com.br,homologacao.auttar.com.br,checkout-hcli.getnet.com.br,getnet.com.br,brpremmiaws.getnet.com.br,api-gateway.getnet.com.br,getconfig.getnet.com.br,getnet-tecnologia.com.br,cg-hg.getnet.com.br,recorrencia-homologacao.getnet.com.br,servicos-logistica-hti.getnet.com.br,a104-102-49-86.deploy.static.akamaitechnologies.com,checkout-homologacao.getnet.com.br,terminal.getnet.com.br,atendimentoweb.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,www.santandergetnet.com.br,getconfig-hg.getnet.com.br,getsso-tns.getnet.com.br,conquistemais.getnet.com.br,postefnicho.auttar.com.br,portal.getnet.com.br,getconfig-hti.getnet.com.br,autar.com.br,portal-dev.auttar.com.br,brpremmia-hti.getnet.com.br,minhaconta.getnet.com.br,bndes-hti.getnet.com.br,cg-hk.getnet.com.br,getstore-hti.getnet.com.br,exportador.auttar.com.br,www.getnet-tecnologia.com.br,api.getnet.com.br,checkout.getnet.com.br,idget.info,cg-hti.getnet.com.br,loja.getnet.com.br,www.cartaosuperget.com.br,ars-hml.getnet.com.br,ecommerce.santandergetnet.com.br,comprovantesuperget.getnet.com.br,api-homologacao.getnet.com.br,pag-homologacao.getnet.com.br,servicosportais.getnet.com.br,api-piloto.getnet.com.br,getsso.getnet.com.br,portalweb-des.auttar.com.br,servicos-logistica-hk.getnet.com.br,auttar.com.br,www2.getnet.com.br,autenticador.auttar.com.br,pag.getnet.com.br,checkout-sandbox.getnet.com.br,ecommerce.auttar.com.br,splitdepagamento.getnet.com.br,servicosportais-sso.getnet.com.br,conciliadorhmlb2w.auttar.com.br,pre-pago.getnet-tecnologia.com.br,gateway-integracao.auttar.com.br,portal-homologacao.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,scows-hti.getnet.com.br,api-sandbox.getnet.com.br,"site.getnet.com.br,"
"104.102.113.146,443,Akamai Technologies, Inc.,a104-102-113-146.deploy.static.akamaitechnologies.com","getnet.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.65.119.221,443,Akamai International, BV,autar.com.br",auttar.com.br,postef-configuration-hml.auttar.com.br,postef-configuration-dev.auttar.com.br,getstore.getnet.com.br,api-hti.auttar.com.br,api-backoffice.getnet.com.br,www.getnet-tecnologia.com.br,a23-65-119-221.deploy.static.akamaitechnologies.com,postef-installation-hml.auttar.com.br,conciliador.auttar.com.br,www.getnet.com.br,novoportal-bff.auttar.com.br,postef-installation-dev.auttar.com.br,api.auttar.com.br,cloudmonitor.getnet.com.br,getnet-tecnologia.com.br,idget.info,novoportal.auttar.com.br,"cartaosuperget.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.216.223.235,443,Akamai Technologies, Inc.,a23-216-223-235.deploy.static.akamaitechnologies.com","getnet.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.65.158.129,443,Akamai Technologies, Inc.,autar.com.br",auttar.com.br,postef-configuration-hml.auttar.com.br,postef-configuration-dev.auttar.com.br,getstore.getnet.com.br,api-hti.auttar.com.br,api-backoffice.getnet.com.br,www.getnet-tecnologia.com.br,postef-installation-hml.auttar.com.br,conciliador.auttar.com.br,www.getnet.com.br,novoportal-bff.auttar.com.br,postef-installation-dev.auttar.com.br,api.auttar.com.br,cloudmonitor.getnet.com.br,getnet-tecnologia.com.br,idget.info,novoportal.auttar.com.br,a23-65-158-129.deploy.static.akamaitechnologies.com,"cartaosuperget.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.209.244.240,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,a23-209-244-240.deploy.static.akamaitechnologies.com,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.211.49.104,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,a23-211-49-104.deploy.static.akamaitechnologies.com,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"104.103.87.107,443,Akamai International, BV,autar.com.br",auttar.com.br,postef-configuration-hml.auttar.com.br,postef-configuration-dev.auttar.com.br,getstore.getnet.com.br,api-hti.auttar.com.br,api-backoffice.getnet.com.br,www.getnet-tecnologia.com.br,postef-installation-hml.auttar.com.br,conciliador.auttar.com.br,www.getnet.com.br,novoportal-bff.auttar.com.br,postef-installation-dev.auttar.com.br,api.auttar.com.br,cloudmonitor.getnet.com.br,getnet-tecnologia.com.br,idget.info,novoportal.auttar.com.br,a104-103-87-107.deploy.static.akamaitechnologies.com,"cartaosuperget.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.13.49.147,443,Akamai International, BV,a23-13-49-147.deploy.static.akamaitechnologies.com","getnet.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.64.226.231,443,Akamai International, BV,gateway-tefsp.auttar.com.br",a23-64-226-231.deploy.static.akamaitechnologies.com,getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.64.240.116,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",a23-64-240-116.deploy.static.akamaitechnologies.com,getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.197.146.57,443,Akamai Technologies, Inc.,cloudmonitor.getnet.com.br",www1.getnet-tecnologia.com.br,gateway-tefsp.auttar.com.br,tefgetnet.auttar.com.br,digital-hcli.getnet.com.br,portal.auttar.com.br,conciliadorb2w.auttar.com.br,dn.getnet.com.br,cfe.getnet.com.br,servicosportais-tns.getnet.com.br,atendimento.auttar.com.br,credenciamentodigital.getnet.com.br,ecommerce-hom.getnet.com.br,getsso-hom.getnet.com.br,postefnicho-hom.auttar.com.br,appdyn.getnet.com.br,digital.getnet.com.br,api-gateway-hti.getnet.com.br,portal.getnet-tecnologia.com.br,ctf.auttar.com.br,www.getnet.com.br,api-hcli.getnet.com.br,gateway-tef.auttar.com.br,www.auttar.com.br,cartaosuperget.com.br,cgws-hti.getnet.com.br,gateway-tefcb.auttar.com.br,getstore.getnet.com.br,api-backoffice.getnet.com.br,homologacao.auttar.com.br,checkout-hcli.getnet.com.br,getnet.com.br,brpremmiaws.getnet.com.br,api-gateway.getnet.com.br,getconfig.getnet.com.br,getnet-tecnologia.com.br,cg-hg.getnet.com.br,recorrencia-homologacao.getnet.com.br,servicos-logistica-hti.getnet.com.br,checkout-homologacao.getnet.com.br,terminal.getnet.com.br,atendimentoweb.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,www.santandergetnet.com.br,getconfig-hg.getnet.com.br,getsso-tns.getnet.com.br,conquistemais.getnet.com.br,postefnicho.auttar.com.br,portal.getnet.com.br,getconfig-hti.getnet.com.br,autar.com.br,portal-dev.auttar.com.br,brpremmia-hti.getnet.com.br,minhaconta.getnet.com.br,bndes-hti.getnet.com.br,cg-hk.getnet.com.br,getstore-hti.getnet.com.br,exportador.auttar.com.br,www.getnet-tecnologia.com.br,api.getnet.com.br,checkout.getnet.com.br,idget.info,cg-hti.getnet.com.br,loja.getnet.com.br,www.cartaosuperget.com.br,ars-hml.getnet.com.br,ecommerce.santandergetnet.com.br,comprovantesuperget.getnet.com.br,api-homologacao.getnet.com.br,pag-homologacao.getnet.com.br,servicosportais.getnet.com.br,api-piloto.getnet.com.br,getsso.getnet.com.br,portalweb-des.auttar.com.br,servicos-logistica-hk.getnet.com.br,auttar.com.br,www2.getnet.com.br,autenticador.auttar.com.br,pag.getnet.com.br,checkout-sandbox.getnet.com.br,ecommerce.auttar.com.br,splitdepagamento.getnet.com.br,servicosportais-sso.getnet.com.br,conciliadorhmlb2w.auttar.com.br,pre-pago.getnet-tecnologia.com.br,gateway-integracao.auttar.com.br,portal-homologacao.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,scows-hti.getnet.com.br,a23-197-146-57.deploy.static.akamaitechnologies.com,api-sandbox.getnet.com.br,"site.getnet.com.br,"
"23.199.87.197,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,a23-199-87-197.deploy.static.akamaitechnologies.com,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"104.88.167.182,443,Akamai Technologies, Inc.,autar.com.br",auttar.com.br,postef-configuration-hml.auttar.com.br,postef-configuration-dev.auttar.com.br,getstore.getnet.com.br,api-hti.auttar.com.br,api-backoffice.getnet.com.br,www.getnet-tecnologia.com.br,postef-installation-hml.auttar.com.br,conciliador.auttar.com.br,www.getnet.com.br,novoportal-bff.auttar.com.br,postef-installation-dev.auttar.com.br,api.auttar.com.br,cloudmonitor.getnet.com.br,getnet-tecnologia.com.br,idget.info,novoportal.auttar.com.br,a104-88-167-182.deploy.static.akamaitechnologies.com,"cartaosuperget.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.212.122.81,443,Akamai Technologies, Inc.,cloudmonitor.getnet.com.br",www1.getnet-tecnologia.com.br,gateway-tefsp.auttar.com.br,tefgetnet.auttar.com.br,digital-hcli.getnet.com.br,portal.auttar.com.br,conciliadorb2w.auttar.com.br,dn.getnet.com.br,cfe.getnet.com.br,servicosportais-tns.getnet.com.br,atendimento.auttar.com.br,credenciamentodigital.getnet.com.br,ecommerce-hom.getnet.com.br,getsso-hom.getnet.com.br,postefnicho-hom.auttar.com.br,appdyn.getnet.com.br,digital.getnet.com.br,api-gateway-hti.getnet.com.br,portal.getnet-tecnologia.com.br,ctf.auttar.com.br,www.getnet.com.br,api-hcli.getnet.com.br,gateway-tef.auttar.com.br,www.auttar.com.br,cartaosuperget.com.br,cgws-hti.getnet.com.br,gateway-tefcb.auttar.com.br,getstore.getnet.com.br,api-backoffice.getnet.com.br,homologacao.auttar.com.br,checkout-hcli.getnet.com.br,getnet.com.br,brpremmiaws.getnet.com.br,api-gateway.getnet.com.br,getconfig.getnet.com.br,getnet-tecnologia.com.br,cg-hg.getnet.com.br,recorrencia-homologacao.getnet.com.br,servicos-logistica-hti.getnet.com.br,checkout-homologacao.getnet.com.br,terminal.getnet.com.br,atendimentoweb.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,www.santandergetnet.com.br,getconfig-hg.getnet.com.br,getsso-tns.getnet.com.br,conquistemais.getnet.com.br,postefnicho.auttar.com.br,portal.getnet.com.br,getconfig-hti.getnet.com.br,autar.com.br,portal-dev.auttar.com.br,brpremmia-hti.getnet.com.br,minhaconta.getnet.com.br,bndes-hti.getnet.com.br,cg-hk.getnet.com.br,getstore-hti.getnet.com.br,exportador.auttar.com.br,www.getnet-tecnologia.com.br,api.getnet.com.br,checkout.getnet.com.br,idget.info,cg-hti.getnet.com.br,loja.getnet.com.br,www.cartaosuperget.com.br,ars-hml.getnet.com.br,ecommerce.santandergetnet.com.br,comprovantesuperget.getnet.com.br,api-homologacao.getnet.com.br,a23-212-122-81.deploy.static.akamaitechnologies.com,pag-homologacao.getnet.com.br,servicosportais.getnet.com.br,api-piloto.getnet.com.br,getsso.getnet.com.br,portalweb-des.auttar.com.br,servicos-logistica-hk.getnet.com.br,auttar.com.br,www2.getnet.com.br,autenticador.auttar.com.br,pag.getnet.com.br,checkout-sandbox.getnet.com.br,ecommerce.auttar.com.br,splitdepagamento.getnet.com.br,servicosportais-sso.getnet.com.br,conciliadorhmlb2w.auttar.com.br,pre-pago.getnet-tecnologia.com.br,gateway-integracao.auttar.com.br,portal-homologacao.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,scows-hti.getnet.com.br,api-sandbox.getnet.com.br,"site.getnet.com.br,"
"23.41.146.208,443,Akamai Technologies, Inc.,a23-41-146-208.deploy.static.akamaitechnologies.com","getnet.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.18.131.117,443,Akamai Technologies,cloudmonitor.getnet.com.br",www1.getnet-tecnologia.com.br,gateway-tefsp.auttar.com.br,tefgetnet.auttar.com.br,digital-hcli.getnet.com.br,portal.auttar.com.br,conciliadorb2w.auttar.com.br,dn.getnet.com.br,cfe.getnet.com.br,servicosportais-tns.getnet.com.br,atendimento.auttar.com.br,credenciamentodigital.getnet.com.br,ecommerce-hom.getnet.com.br,getsso-hom.getnet.com.br,postefnicho-hom.auttar.com.br,appdyn.getnet.com.br,digital.getnet.com.br,api-gateway-hti.getnet.com.br,portal.getnet-tecnologia.com.br,ctf.auttar.com.br,www.getnet.com.br,api-hcli.getnet.com.br,a2-18-131-117.deploy.static.akamaitechnologies.com,gateway-tef.auttar.com.br,www.auttar.com.br,cartaosuperget.com.br,cgws-hti.getnet.com.br,gateway-tefcb.auttar.com.br,getstore.getnet.com.br,api-backoffice.getnet.com.br,homologacao.auttar.com.br,checkout-hcli.getnet.com.br,getnet.com.br,brpremmiaws.getnet.com.br,api-gateway.getnet.com.br,getconfig.getnet.com.br,getnet-tecnologia.com.br,cg-hg.getnet.com.br,recorrencia-homologacao.getnet.com.br,servicos-logistica-hti.getnet.com.br,checkout-homologacao.getnet.com.br,terminal.getnet.com.br,atendimentoweb.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,www.santandergetnet.com.br,getconfig-hg.getnet.com.br,getsso-tns.getnet.com.br,conquistemais.getnet.com.br,postefnicho.auttar.com.br,portal.getnet.com.br,getconfig-hti.getnet.com.br,autar.com.br,portal-dev.auttar.com.br,brpremmia-hti.getnet.com.br,minhaconta.getnet.com.br,bndes-hti.getnet.com.br,cg-hk.getnet.com.br,getstore-hti.getnet.com.br,exportador.auttar.com.br,www.getnet-tecnologia.com.br,api.getnet.com.br,checkout.getnet.com.br,idget.info,cg-hti.getnet.com.br,loja.getnet.com.br,www.cartaosuperget.com.br,ars-hml.getnet.com.br,ecommerce.santandergetnet.com.br,comprovantesuperget.getnet.com.br,api-homologacao.getnet.com.br,pag-homologacao.getnet.com.br,servicosportais.getnet.com.br,api-piloto.getnet.com.br,getsso.getnet.com.br,portalweb-des.auttar.com.br,servicos-logistica-hk.getnet.com.br,auttar.com.br,www2.getnet.com.br,autenticador.auttar.com.br,pag.getnet.com.br,checkout-sandbox.getnet.com.br,ecommerce.auttar.com.br,splitdepagamento.getnet.com.br,servicosportais-sso.getnet.com.br,conciliadorhmlb2w.auttar.com.br,pre-pago.getnet-tecnologia.com.br,gateway-integracao.auttar.com.br,portal-homologacao.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,scows-hti.getnet.com.br,api-sandbox.getnet.com.br,"site.getnet.com.br,"
"104.106.73.25,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,a104-106-73-25.deploy.static.akamaitechnologies.com,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"104.80.9.248,443,Akamai Technologies, Inc.,a104-80-9-248.deploy.static.akamaitechnologies.com","getnet.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.4.189.229,443,Akamai Technologies, Inc.,autar.com.br",auttar.com.br,postef-configuration-hml.auttar.com.br,postef-configuration-dev.auttar.com.br,getstore.getnet.com.br,api-hti.auttar.com.br,api-backoffice.getnet.com.br,www.getnet-tecnologia.com.br,postef-installation-hml.auttar.com.br,conciliador.auttar.com.br,www.getnet.com.br,novoportal-bff.auttar.com.br,postef-installation-dev.auttar.com.br,api.auttar.com.br,cloudmonitor.getnet.com.br,getnet-tecnologia.com.br,idget.info,novoportal.auttar.com.br,a23-4-189-229.deploy.static.akamaitechnologies.com,"cartaosuperget.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.205.195.29,443,Akamai Technologies, Inc.,a23-205-195-29.deploy.static.akamaitechnologies.com",gateway-tefsp.auttar.com.br,getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.197.130.79,443,Akamai Technologies, Inc.,cloudmonitor.getnet.com.br",www1.getnet-tecnologia.com.br,gateway-tefsp.auttar.com.br,tefgetnet.auttar.com.br,digital-hcli.getnet.com.br,portal.auttar.com.br,conciliadorb2w.auttar.com.br,dn.getnet.com.br,cfe.getnet.com.br,servicosportais-tns.getnet.com.br,atendimento.auttar.com.br,credenciamentodigital.getnet.com.br,ecommerce-hom.getnet.com.br,getsso-hom.getnet.com.br,postefnicho-hom.auttar.com.br,appdyn.getnet.com.br,digital.getnet.com.br,api-gateway-hti.getnet.com.br,portal.getnet-tecnologia.com.br,ctf.auttar.com.br,www.getnet.com.br,api-hcli.getnet.com.br,gateway-tef.auttar.com.br,www.auttar.com.br,cartaosuperget.com.br,cgws-hti.getnet.com.br,gateway-tefcb.auttar.com.br,getstore.getnet.com.br,api-backoffice.getnet.com.br,homologacao.auttar.com.br,a23-197-130-79.deploy.static.akamaitechnologies.com,checkout-hcli.getnet.com.br,getnet.com.br,brpremmiaws.getnet.com.br,api-gateway.getnet.com.br,getconfig.getnet.com.br,getnet-tecnologia.com.br,cg-hg.getnet.com.br,recorrencia-homologacao.getnet.com.br,servicos-logistica-hti.getnet.com.br,checkout-homologacao.getnet.com.br,terminal.getnet.com.br,atendimentoweb.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,www.santandergetnet.com.br,getconfig-hg.getnet.com.br,getsso-tns.getnet.com.br,conquistemais.getnet.com.br,postefnicho.auttar.com.br,portal.getnet.com.br,getconfig-hti.getnet.com.br,autar.com.br,portal-dev.auttar.com.br,brpremmia-hti.getnet.com.br,minhaconta.getnet.com.br,bndes-hti.getnet.com.br,cg-hk.getnet.com.br,getstore-hti.getnet.com.br,exportador.auttar.com.br,www.getnet-tecnologia.com.br,api.getnet.com.br,checkout.getnet.com.br,idget.info,cg-hti.getnet.com.br,loja.getnet.com.br,www.cartaosuperget.com.br,ars-hml.getnet.com.br,ecommerce.santandergetnet.com.br,comprovantesuperget.getnet.com.br,api-homologacao.getnet.com.br,pag-homologacao.getnet.com.br,servicosportais.getnet.com.br,api-piloto.getnet.com.br,getsso.getnet.com.br,portalweb-des.auttar.com.br,servicos-logistica-hk.getnet.com.br,auttar.com.br,www2.getnet.com.br,autenticador.auttar.com.br,pag.getnet.com.br,checkout-sandbox.getnet.com.br,ecommerce.auttar.com.br,splitdepagamento.getnet.com.br,servicosportais-sso.getnet.com.br,conciliadorhmlb2w.auttar.com.br,pre-pago.getnet-tecnologia.com.br,gateway-integracao.auttar.com.br,portal-homologacao.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,scows-hti.getnet.com.br,api-sandbox.getnet.com.br,"site.getnet.com.br,"
"95.101.240.24,443,Akamai Technologies,gateway-tefsp.auttar.com.br",getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,a95-101-240-24.deploy.static.akamaitechnologies.com,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
